date,overall_ask,overall_sold,condos_ask,condos_sold,condoTown_ask,condoTown_sold,freeTown_ask,freeTown_sold,detached_ask,detached_sold
2013-10-01,"485,200","486,750","339,900","332,500","389,000","380,000","562,000","575,500","649,900","659,000"
2013-09-01,"471,950","474,225","339,000","331,000","349,900","345,800","549,000","570,100","649,900","650,000"
2013-08-01,"446,800","440,187","329,900","321,900","339,900","336,100","519,000","512,500","598,400","590,250"
2013-07-01,"461,337","461,250","337,500","327,000","369,450","363,000","538,500","545,000","599,900","610,000"
2013-06-01,"470,000","472,018","338,000","330,000","359,000","355,700","525,000","547,373","658,000","655,000"
2013-05-01,"476,999","479,475","341,000","336,000","368,000","361,400","549,000","560,000","650,000","660,500"
2013-04-01,"469,950","473,750","339,900","335,000","339,900","338,000","525,000","540,000","675,000","682,000"
2013-03-01,"471,972","472,812","339,890","330,500","348,150","342,250","539,900","549,000","659,950","669,500"
2013-02-01,"465,436","468,062","329,000","320,250","343,900","343,000","529,900","542,000","658,944","667,000"
2013-01-01,"451,936","448,800","329,748","323,250","339,000","332,500","540,000","540,000","599,000","599,450"
2012-12-01,"431,234","421,875","324,990","315,000","318,450","309,500","529,000","522,500","552,500","540,500"
2012-11-01,"449,045","440,768","324,900","316,125","348,888","338,000","529,900","529,000","592,495","579,950"
2012-10-01,"457,737","454,500","335,000","325,500","357,950","350,000","529,000","525,000","609,000","617,500"
2012-09-01,"444,137","449,862","337,700","328,000","339,000","335,000","499,950","529,500","599,900","606,950"
2012-08-01,"425,700","421,000","329,000","321,000","339,900","335,000","479,000","478,000","554,900","550,000"
2012-07-01,"436,700","430,375","329,000","322,500","333,900","328,500","499,000","495,500","584,900","575,000"
2012-06-01,"448,225","449,963","339,000","332,800","355,000","356,000","499,900","515,000","599,000","596,056"
2012-05-01,"464,450","472,839","339,900","335,759","349,000","355,000","539,900","555,000","629,000","645,600"
2012-04-01,"450,725","464,075","335,000","333,000","329,000","329,500","499,900","543,000","639,000","650,800"
2012-03-01,"437,062","450,750","329,900","329,000","319,450","331,000","499,000","518,000","599,900","625,000"
2012-02-01,"448,099","456,537","334,000","328,000","339,500","337,750","499,000","512,000","619,900","648,400"
2012-01-01,"420,950","419,625","319,000","314,000","324,950","319,250","469,950","474,250","569,900","571,000"
2011-12-01,"409,150","404,750","328,800","320,000","325,000","320,000","438,800","437,000","544,000","542,000"
2011-11-01,"436,947","436,110","329,800","324,500","319,990","319,000","499,000","512,000","599,000","588,940"
2011-10-01,"431,350","430,225","338,400","331,500","329,000","334,900","479,000","484,000","579,000","570,500"
2011-09-01,"414,900","417,875","329,900","327,000","329,900","331,000","449,900","455,000","549,900","558,500"
2011-08-01,"406,850","406,312","329,900","323,250","319,000","320,000","450,000","452,000","528,500","530,000"
2011-07-01,"413,687","409,875","334,900","328,000","321,950","320,500","449,000","450,000","548,900","541,000"
2011-06-01,"425,712","427,625","329,900","328,000","329,000","331,500","474,950","477,000","569,000","574,000"
2011-05-01,"433,200","435,609","328,400","324,950","335,500","332,000","499,000","505,309","569,900","580,180"
2011-04-01,"428,662","428,337","329,900","326,000","326,950","322,000","478,800","490,000","579,000","575,350"
2011-03-01,"416,725","416,237","319,900","320,000","329,000","320,500","469,000","475,000","549,000","549,450"
2011-02-01,"416,575","413,750","325,000","322,000","322,400","316,750","469,900","470,000","549,000","546,250"
2011-01-01,"393,450","388,262","315,000","308,000","329,000","322,500","439,900","438,000","489,900","484,550"
