Neighbourhood,id,Population_2016,Population_2011,Population_Change_20112016,Total_private_dwellings,Children_0_to_14_years,Youth_15_to_24_years,Working_Age_25_to_54_years,Preretirement_55_to_64_years,Seniors_65_years_and_older,Income_under_10000_including_loss,Income_10000_to_19999,Income_20000_to_29999,Income_30000_to_39999,Income_40000_to_49999,Income_50000_to_59999,Income_60000_to_69999,Income_70000_to_79999,Income_80000_to_89999,Income_90000_to_99999,Income_100000_and_over,No_certificate_diploma_or_degree,Secondary_high_school_diploma_or_equivalency_certificate,Postsecondary_certificate_diploma_or_degree,Apprenticeship_or_trades_certificate_or_diploma,College_CEGEP_or_other_nonuniversity_certificate_or_diploma,University_certificate_or_diploma_below_bachelor_level,University_certificate_diploma_or_degree_at_bachelor_level_or_above,Bachelors_degree,University_certificate_or_diploma_above_bachelor_level,Degree_in_medicine_dentistry_veterinary_medicine_or_optometry,Masters_degree,Earned_doctorate,Total_income_Average_amount_,Market_income_Average_amount_,Employment_income_Average_amount_,Investment_income_Average_amount_,Private_retirement_income_Average_amount_,Canada_Pension_Plan_CPP_and_Quebec_Pension_Plan_QPP_benefits_Average_amount,Employment_Insurance_EI_benefits_Average_amount,Child_benefits_Average_amount,Social_assistance_benefits_Average_amount,Workers_compensation_benefits_Average_amount_,Working_income_tax_benefit_WITB_Average_amount_,Goods_and_services_tax_GST_credit_and_harmonized_sales_tax_HST_credit_Average_amount_,Aftertax_income_Average_amount_,Income_taxes_Average_amount_,Net_federal_tax_Average_amount_,Provincial_and_territorial_income_taxes_Average_amount_,City_Grants_Funding_,Neighbourhood_Equity_Score,Walk_Score,Businesses,Child_Care_Spaces,Debt_Risk_Score,Home_Prices,Local_Employment,Social_Assistance_Recipients,Catholic_School_Graduation,Catholic_School_Literacy,Green_Rebate_Programs,Green_Spaces,Health_Providers,Premature_Mortality,Rent_Bank_Applicants,Social_Housing_Units,Social_Housing_Waiting_List,Arsons,Assaults,Break__Enters,Drug_Arrests,Fire_Medical_Calls,Fire_Vehicle_Incidents,Fires__Fire_Alarms,Hazardous_Incidents,Murders,Robberies,Sexual_Assaults,Thefts,Total_Major_Crime_Incidents,Vehicle_Thefts
Malvern,132,43794.000,45086.000,-0.029,24.129,13.696,11.462,30.932,9.583,10.198,21.558,23.840,17.708,14.232,10.548,5.893,2.969,1.731,0.791,0.343,0.388,14.886,29.111,55.939,5.588,22.435,2.964,24.888,18.383,1.280,0.618,4.287,0.341,29573.000,29653.000,31240.000,1373.000,15002.000,5964.000,6810.000,7242.000,9797.000,2594.000,912.000,366.000,26505.000,5754.000,4099.000,2074.000,190.389,47.550,93.000,0.539,0.122,705.000,489366.000,14.872,5.946,0.692,64.286,0.031,0.000,0.164,0.719,0.078,3.804,2.500,0.000,0.273,0.215,0.084,1.535,0.080,0.812,0.337,0.000,0.062,0.020,0.035,0.723,0.033
Maple Leaf,29,10111.000,10197.000,-0.008,26.771,10.865,9.163,29.770,8.728,14.704,16.101,20.063,20.943,15.597,10.566,5.723,4.088,2.642,1.509,0.943,1.824,16.357,28.160,55.390,6.320,19.145,4.647,25.372,21.004,1.301,0.186,2.695,0.000,37108.000,35451.000,38895.000,5030.000,12494.000,8076.000,6946.000,5388.000,8711.000,10196.000,886.000,349.000,31957.000,7924.000,5596.000,2881.000,10941.140,67.920,98.000,23.958,0.441,736.000,410703.000,529.999,30.303,0.556,64.286,1.412,0.001,0.873,3.477,0.186,35.824,10.023,0.020,5.247,1.402,0.971,25.802,1.775,10.886,2.520,0.010,1.216,0.588,0.127,9.866,0.304
Markland Wood,12,10554.000,10436.000,0.011,29.195,8.998,7.822,24.172,11.650,18.163,13.781,14.636,13.440,11.902,11.048,8.998,6.834,5.353,4.328,2.164,7.517,4.405,18.838,76.570,4.030,22.868,2.437,47.329,32.240,4.405,0.375,8.622,1.406,62378.000,60682.000,58304.000,13559.000,28728.000,8399.000,6221.000,3346.000,9486.000,5800.000,869.000,334.000,48586.000,18745.000,12205.000,7194.000,27724.454,77.070,99.000,41.433,0.287,755.000,457787.000,1781.248,6.497,0.875,92.308,1.092,0.001,1.792,2.517,0.057,4.992,2.597,0.019,5.309,1.236,1.035,19.423,1.811,11.527,1.715,0.000,1.188,0.450,0.278,9.745,0.249
Milliken,130,26572.000,27167.000,-0.022,22.744,10.682,9.286,30.708,11.713,14.867,23.313,29.094,16.800,10.925,7.622,4.766,2.973,1.840,1.180,0.543,0.944,25.275,30.777,43.913,2.717,14.856,2.820,23.521,18.673,1.204,0.550,2.957,0.344,28085.000,27441.000,29634.000,3236.000,18780.000,5546.000,6801.000,6825.000,9124.000,0.000,900.000,353.000,25109.000,5984.000,4299.000,2231.000,8819.145,80.990,92.000,10.671,0.479,748.000,416759.000,324.136,10.542,0.846,61.111,0.688,0.009,0.147,0.747,0.055,14.687,2.474,0.022,3.283,0.512,0.545,7.785,1.406,4.075,1.001,0.004,0.346,0.151,0.063,5.128,0.225
Mimico (includes Humber Bay Shores),17,33964.000,26541.000,0.280,37.606,6.434,5.525,32.482,8.481,9.472,13.780,16.508,13.210,11.950,10.913,8.979,7.425,5.491,3.678,2.141,5.923,7.316,18.587,74.051,4.710,22.085,2.972,44.307,29.104,3.361,0.823,9.991,1.075,54438.000,56160.000,55527.000,9920.000,25796.000,7721.000,7293.000,4187.000,8738.000,5427.000,810.000,323.000,43971.000,14596.000,9753.000,5440.000,3972.733,50.700,97.000,7.095,0.931,728.000,477989.000,140.179,9.506,0.739,61.538,0.328,0.000,0.309,0.824,0.019,9.785,2.943,0.011,1.390,0.625,0.742,5.908,0.505,1.861,0.550,0.004,0.256,0.094,0.053,3.274,0.109
Morningside,135,17455.000,17587.000,-0.008,25.715,12.253,11.445,29.101,10.020,11.466,21.272,21.941,17.404,13.611,10.264,6.359,3.607,2.417,1.376,0.744,1.004,12.691,26.039,61.269,5.197,25.492,3.282,27.243,18.654,2.243,1.149,4.650,0.438,32291.000,31918.000,32952.000,2616.000,21337.000,7318.000,7228.000,6963.000,9968.000,2875.000,814.000,362.000,28497.000,6764.000,4751.000,2451.000,1182.862,75.070,97.000,2.746,0.085,748.000,773920.000,62.359,1.473,1.000,66.667,0.262,0.000,0.335,1.460,0.006,2.041,0.796,0.006,0.745,0.301,0.307,3.093,0.444,1.683,0.409,0.000,0.171,0.119,0.006,1.683,0.034
Moss Park,73,20506.000,16306.000,0.258,37.875,4.661,6.235,37.926,7.552,5.751,16.446,20.723,11.657,9.277,8.735,7.530,6.807,5.693,3.614,2.349,7.169,7.635,16.574,75.829,3.017,15.531,2.495,54.935,34.637,3.352,1.080,13.929,1.974,58915.000,66614.000,65762.000,9866.000,31408.000,6663.000,6854.000,7847.000,8804.000,0.000,793.000,326.000,45877.000,20904.000,14109.000,7989.000,1021.698,72.190,95.000,3.195,0.975,742.000,781568.000,20.005,4.078,0.786,75.000,0.797,0.000,0.350,1.285,0.006,1.607,1.043,0.006,0.754,0.350,0.153,2.422,0.411,0.914,0.607,0.000,0.110,0.110,0.025,1.601,0.098
Mount Dennis,115,13593.000,13145.000,0.034,28.391,12.625,9.567,31.258,9.277,8.882,18.832,23.552,18.540,15.426,10.998,6.131,3.017,1.752,0.925,0.389,0.438,21.198,28.440,50.296,6.649,21.461,3.884,18.302,11.455,2.436,0.000,3.884,0.263,30827.000,30737.000,31865.000,2113.000,16723.000,7022.000,7262.000,6886.000,9213.000,8612.000,819.000,379.000,27461.000,6036.000,4231.000,2190.000,795.474,60.090,94.000,5.439,2.526,742.000,723909.000,40.928,10.765,0.718,72.222,1.194,0.001,0.259,1.464,0.008,0.320,1.986,0.008,1.255,0.510,0.472,5.759,0.631,1.780,1.027,0.008,0.175,0.145,0.015,2.746,0.167
Mount Olive-Silverstone-Jamestown,2,32954.000,32788.000,0.005,23.657,16.412,12.130,31.516,8.044,8.241,23.088,25.414,19.527,14.373,8.799,4.379,2.200,1.194,0.566,0.210,0.251,24.699,28.634,46.667,5.257,17.063,2.320,21.997,14.684,1.087,0.617,5.286,0.294,26548.000,26840.000,28126.000,2088.000,13879.000,6126.000,7080.000,8295.000,10975.000,5414.000,874.000,386.000,24122.000,5064.000,3635.000,1810.000,1482.786,72.540,84.000,1.802,0.198,747.000,398281.000,47.642,3.800,0.850,63.636,0.351,0.001,0.046,0.789,0.030,6.258,1.019,0.000,0.735,0.140,0.195,1.824,0.314,1.223,0.378,0.000,0.049,0.076,0.024,1.272,0.052
Mount Pleasant East,99,16775.000,15982.000,0.050,31.496,12.166,6.961,31.108,8.247,10.022,13.321,11.992,10.778,9.488,8.729,7.590,6.148,6.148,5.047,3.757,17.002,1.763,11.405,86.833,2.022,13.893,2.177,68.740,40.384,4.406,1.763,19.388,2.696,85340.000,86374.000,84248.000,16527.000,30531.000,8108.000,9501.000,2998.000,8622.000,0.000,773.000,317.000,63862.000,28071.000,18151.000,10895.000,150.576,66.790,90.000,2.346,0.501,721.000,502736.000,25.479,8.153,0.744,71.429,0.676,0.000,0.050,1.200,0.025,0.257,1.821,0.000,0.914,0.469,0.257,2.021,0.269,0.745,0.507,0.000,0.263,0.119,0.063,2.177,0.094
Mount Pleasant West,104,29658.000,28593.000,0.037,38.427,4.945,5.236,35.529,6.295,9.568,14.470,14.607,12.107,11.951,12.166,9.217,7.694,5.604,3.574,2.109,6.503,2.881,12.640,84.505,2.359,15.967,3.104,63.149,38.937,3.750,1.316,17.085,2.111,57039.000,59031.000,57252.000,10500.000,30177.000,7869.000,6924.000,3989.000,8344.000,0.000,772.000,313.000,45441.000,15915.000,10758.000,5939.000,182.597,60.040,88.000,1.203,0.192,727.000,514960.000,9.083,3.438,0.593,64.384,0.371,0.000,0.063,0.954,0.021,1.350,0.836,0.000,0.479,0.269,0.129,1.553,0.094,0.451,0.245,0.000,0.056,0.042,0.024,1.035,0.035
New Toronto,18,11463.000,10900.000,0.052,33.322,9.483,8.188,30.718,9.307,8.983,16.747,22.008,15.459,11.916,10.413,7.032,4.885,4.240,2.630,1.771,2.899,10.503,21.820,67.751,5.030,23.964,3.180,35.577,25.222,2.959,0.296,6.287,0.814,44101.000,46242.000,47334.000,5417.000,15962.000,7243.000,6689.000,5236.000,9264.000,4200.000,816.000,352.000,37209.000,11311.000,7685.000,4174.000,1803.688,33.100,83.000,5.174,0.642,695.000,500054.000,69.881,41.037,0.800,70.130,0.560,0.004,0.128,3.898,0.193,14.174,10.954,0.018,3.055,0.587,1.284,9.688,1.450,4.505,1.541,0.009,0.385,0.147,0.083,5.817,0.266
Newtonbrook East,50,16097.000,16423.000,-0.020,28.660,7.021,9.679,30.388,9.546,14.707,25.606,21.023,12.917,9.545,7.879,6.288,5.000,3.333,2.689,1.477,4.242,4.251,14.206,81.600,2.964,14.262,3.971,60.291,38.031,3.468,2.796,13.255,2.685,45212.000,49146.000,46259.000,17177.000,26943.000,6618.000,7008.000,4464.000,8771.000,0.000,887.000,325.000,36139.000,16333.000,11095.000,6552.000,243.561,64.950,91.000,3.288,0.913,741.000,581425.000,17.567,13.810,0.706,77.273,1.078,0.000,0.371,1.711,0.037,3.051,2.490,0.006,1.169,0.457,0.451,4.762,0.469,1.608,0.816,0.000,0.110,0.079,0.024,2.350,0.061
Newtonbrook West,36,23831.000,23052.000,0.034,28.331,8.455,10.004,31.321,9.357,12.532,23.386,23.183,17.260,11.617,8.261,5.084,3.482,2.644,1.627,1.017,2.440,5.195,21.670,73.321,4.564,16.735,4.824,47.199,29.833,4.230,1.596,9.314,2.189,34904.000,36172.000,36155.000,9512.000,18677.000,6806.000,7710.000,4930.000,9934.000,0.000,902.000,337.000,29760.000,9290.000,6556.000,3537.000,231.650,77.140,79.000,1.943,0.993,770.000,622206.000,28.605,7.288,0.915,87.719,1.093,0.008,0.377,0.814,0.009,2.052,0.985,0.000,0.447,0.256,0.082,2.264,0.256,1.089,0.490,0.000,0.074,0.026,0.009,1.006,0.113
Niagara,82,31180.000,21274.000,0.466,38.667,4.042,4.750,45.865,3.707,2.970,10.166,11.455,9.791,10.507,12.636,11.921,9.898,7.553,5.173,3.096,7.804,2.700,10.759,86.500,2.497,17.783,2.253,63.967,43.849,3.329,1.035,14.474,1.340,70623.000,72546.000,71623.000,8224.000,22903.000,6761.000,7473.000,3986.000,9020.000,0.000,706.000,299.000,54803.000,19543.000,13010.000,7290.000,196.484,80.580,84.000,1.194,1.133,759.000,609689.000,12.113,4.954,0.938,76.667,0.818,0.000,0.127,0.905,0.033,3.107,1.735,0.014,0.588,0.498,0.136,3.497,0.249,1.058,0.475,0.000,0.122,0.038,0.005,1.452,0.066
North Riverdale,68,11916.000,12191.000,-0.023,30.793,11.375,6.790,31.861,9.547,9.634,14.581,15.005,11.506,9.438,8.590,7.370,5.885,5.779,4.719,2.969,14.157,4.510,14.674,80.816,1.861,14.531,2.076,62.491,36.650,4.295,1.432,16.893,3.221,73253.000,74277.000,73304.000,12709.000,28591.000,7951.000,8935.000,3185.000,7639.000,0.000,733.000,314.000,56122.000,23490.000,15428.000,9060.000,71.118,85.850,81.000,2.740,1.805,777.000,666204.000,19.859,2.059,0.963,91.176,1.435,0.000,0.197,1.838,0.008,0.049,0.377,0.008,0.566,0.345,0.066,2.551,0.164,0.681,0.615,0.000,0.139,0.025,0.041,1.353,0.172
North St. James Town,74,18615.000,17832.000,0.044,35.194,7.972,7.885,36.033,6.858,6.058,20.013,25.531,17.369,13.190,9.403,4.930,3.787,2.220,1.208,0.686,1.665,8.667,19.501,71.872,4.007,17.580,4.415,45.871,28.700,3.189,0.899,11.652,1.472,32648.000,35085.000,35246.000,4351.000,16947.000,6147.000,7324.000,7494.000,9337.000,2200.000,813.000,344.000,28541.000,7603.000,5392.000,2760.000,67.295,64.270,83.000,3.539,0.168,733.000,532997.000,36.608,6.477,0.840,76.250,0.998,0.001,0.050,1.442,0.062,0.331,1.924,0.011,0.802,0.320,0.224,2.810,0.465,1.116,0.622,0.000,0.084,0.079,0.017,1.705,0.179
Oakridge,121,13845.000,13497.000,0.026,28.748,14.744,8.646,31.136,8.209,8.517,23.215,28.957,18.273,11.633,7.239,4.543,3.045,1.498,0.799,0.399,0.399,14.501,25.984,59.580,4.593,17.388,2.887,34.646,18.701,2.297,0.787,12.073,0.919,26793.000,27869.000,29081.000,2170.000,14854.000,6377.000,6870.000,9063.000,10099.000,0.000,912.000,391.000,24247.000,5842.000,4309.000,2113.000,624.361,40.470,75.000,1.319,0.622,698.000,382119.000,8.995,12.995,0.744,67.073,0.719,0.000,0.044,1.754,0.044,5.149,2.460,0.000,0.926,0.326,0.430,2.615,0.163,0.948,0.474,0.000,0.126,0.193,0.052,2.223,0.170
Oakwood Village,107,21210.000,21073.000,0.007,30.313,10.274,7.468,31.298,8.502,12.145,16.008,22.300,17.998,13.111,9.775,6.380,4.741,3.366,2.312,1.346,2.663,14.398,21.867,63.734,4.689,18.257,3.651,37.095,23.817,2.199,0.664,9.004,1.618,39803.000,39954.000,42629.000,4567.000,13206.000,6999.000,7524.000,5034.000,8684.000,12515.000,783.000,352.000,33777.000,9904.000,6866.000,3659.000,0.000,54.030,79.000,1.993,0.498,708.000,502819.000,10.018,6.141,0.838,64.115,0.821,0.001,0.247,0.827,0.024,0.441,1.248,0.005,0.603,0.237,0.100,2.173,0.313,0.484,0.384,0.000,0.147,0.071,0.009,1.253,0.085
O'Connor-Parkview,54,18675.000,18316.000,0.020,29.213,11.779,9.033,29.750,10.037,10.188,17.922,19.608,16.684,12.350,9.770,6.949,4.782,4.162,2.374,1.686,3.715,11.516,24.232,64.203,5.566,22.121,3.263,33.205,22.697,2.351,0.432,7.246,0.480,43907.000,45703.000,46274.000,6737.000,20172.000,7846.000,7735.000,5324.000,10395.000,3210.000,820.000,354.000,36221.000,12446.000,8419.000,4674.000,534.888,57.090,88.000,4.859,0.977,719.000,512789.000,27.719,19.453,0.710,66.667,2.075,0.001,0.147,1.181,0.087,7.507,5.214,0.000,1.501,0.884,0.693,6.251,0.541,2.200,1.245,0.005,0.289,0.300,0.044,4.057,0.339
Old East York,58,9233.000,9118.000,0.013,30.046,11.153,6.942,30.615,9.712,11.533,14.651,17.137,14.651,11.089,10.215,8.199,6.183,5.376,4.368,2.419,5.712,9.777,20.577,69.646,4.655,21.508,4.097,39.385,26.909,3.073,0.186,8.194,0.838,53315.000,53889.000,56216.000,5649.000,23150.000,7862.000,8654.000,4020.000,9000.000,4592.000,886.000,342.000,43038.000,14990.000,10111.000,5486.000,263.216,65.460,86.000,4.157,0.921,745.000,656868.000,56.405,9.991,0.810,67.391,1.777,0.001,0.384,2.277,0.044,12.656,3.630,0.011,0.998,0.636,0.165,5.560,0.614,1.535,1.053,0.000,0.252,0.143,0.055,2.413,0.165
Palmerston-Little Italy,80,13826.000,13746.000,0.006,33.195,6.192,7.087,37.950,6.095,9.481,14.034,18.903,16.162,12.193,10.516,7.529,5.892,3.969,2.741,1.841,6.219,5.237,17.144,77.398,2.260,14.278,2.095,58.875,35.502,2.867,0.717,16.042,3.693,58071.000,59372.000,54358.000,25245.000,17508.000,7134.000,7139.000,3451.000,8207.000,4291.000,671.000,307.000,46199.000,17466.000,11956.000,6748.000,4025.571,78.600,94.000,16.936,1.462,755.000,993491.000,187.102,8.366,0.733,68.750,1.710,0.001,1.440,1.680,0.044,5.667,3.376,0.015,1.979,1.128,0.240,11.101,1.171,5.653,1.870,0.007,0.276,0.335,0.145,4.394,0.284
Parkwoods-Donalda,45,34805.000,34617.000,0.005,28.564,11.983,9.603,30.327,8.751,10.772,18.772,18.975,15.785,12.668,10.308,7.524,5.145,3.633,2.268,1.291,3.633,7.470,22.094,70.437,4.603,20.726,4.419,40.768,26.618,3.104,1.105,8.995,0.947,42516.000,43478.000,43071.000,7846.000,24127.000,7512.000,7808.000,5890.000,9114.000,2774.000,855.000,354.000,35409.000,11375.000,7795.000,4225.000,82.618,82.310,80.000,0.745,0.410,771.000,1083381.000,9.484,0.546,0.833,100.000,0.231,0.000,0.222,0.481,0.012,0.292,0.251,0.003,0.095,0.118,0.009,1.283,0.159,0.682,0.234,0.000,0.012,0.006,0.012,0.263,0.012
Pelmo Park-Humberlea,23,10722.000,8710.000,0.231,26.438,11.952,9.384,31.815,9.521,10.890,15.687,18.214,17.156,14.219,11.751,8.402,5.934,4.113,2.115,0.999,1.410,16.708,26.766,56.525,7.648,22.278,3.658,22.860,17.041,2.078,0.166,3.159,0.333,39003.000,37677.000,41217.000,3073.000,14285.000,7830.000,6704.000,4559.000,10150.000,11264.000,848.000,347.000,33581.000,8088.000,5637.000,2908.000,74.627,80.990,84.000,5.373,0.230,771.000,995616.000,90.218,3.249,0.667,50.000,0.850,0.000,0.643,1.630,0.046,0.000,0.850,0.000,0.310,0.712,0.000,3.582,0.321,2.009,0.769,0.000,0.034,0.057,0.069,1.274,0.092
Playter Estates-Danforth,67,7804.000,7653.000,0.020,32.567,9.942,6.354,32.204,8.386,10.547,13.275,17.091,12.798,10.254,8.983,7.870,5.167,5.564,3.975,2.782,12.242,3.229,14.101,82.777,2.045,16.469,2.045,62.217,35.522,3.660,0.969,18.407,3.445,70831.000,73398.000,70908.000,15057.000,23307.000,7492.000,7347.000,2795.000,8422.000,0.000,810.000,312.000,54115.000,23207.000,15372.000,9011.000,505.318,83.780,84.000,8.925,2.117,777.000,1265389.000,250.359,6.520,0.667,62.500,2.221,0.010,0.523,1.747,0.118,7.487,2.430,0.000,1.111,1.071,0.118,12.701,1.699,7.553,2.901,0.000,0.261,0.157,0.118,3.097,0.261
Pleasant View,46,15818.000,16144.000,-0.020,26.503,9.527,9.666,30.068,9.387,14.848,21.536,20.614,16.276,11.670,10.250,6.142,4.798,3.378,2.188,1.267,1.881,7.447,19.740,72.695,3.901,18.617,4.610,45.745,29.965,2.600,1.537,9.634,1.773,36346.000,36018.000,38509.000,4170.000,18257.000,7484.000,6728.000,5020.000,8243.000,8332.000,792.000,328.000,31338.000,8518.000,6105.000,3122.000,21.680,86.040,88.000,2.868,0.508,777.000,815247.000,29.367,1.784,0.923,90.000,1.319,0.001,0.291,1.055,0.031,2.063,0.626,0.006,0.316,0.322,0.056,2.509,0.322,0.929,0.613,0.000,0.037,0.031,0.031,0.836,0.043
Princess-Rosethorn,10,11051.000,11197.000,-0.013,26.364,11.790,10.524,25.478,12.356,13.488,15.158,12.048,10.238,8.428,8.541,8.371,6.505,5.939,4.468,3.507,16.799,4.252,15.146,80.514,2.569,15.500,3.454,58.990,35.518,4.872,2.569,14.172,1.771,99055.000,99270.000,90343.000,28408.000,35571.000,8333.000,7438.000,3067.000,7379.000,0.000,818.000,318.000,71025.000,36827.000,24010.000,14436.000,703.296,88.110,89.000,6.162,0.402,759.000,975449.000,104.903,1.688,0.714,50.000,1.161,0.001,0.554,1.434,0.036,1.331,0.679,0.000,0.616,0.536,0.384,2.742,0.304,1.313,1.027,0.000,0.295,0.080,0.009,2.045,0.125
Regent Park,72,10803.000,10007.000,0.080,32.398,10.220,11.095,34.848,6.876,4.563,22.714,26.616,15.434,10.309,7.397,5.766,4.019,2.737,1.573,1.048,2.388,16.476,21.434,62.090,2.746,15.256,2.593,41.648,26.926,2.593,0.763,10.145,1.297,34597.000,38904.000,38576.000,5988.000,17011.000,4621.000,7388.000,8792.000,9684.000,0.000,975.000,374.000,29525.000,10958.000,7571.000,4057.000,0.000,86.240,76.000,1.749,0.300,775.000,1585984.000,19.436,1.339,0.000,50.000,0.919,0.001,0.250,1.504,0.030,2.328,0.550,0.000,0.190,0.580,0.000,2.518,0.220,1.989,0.829,0.000,0.040,0.010,0.070,0.919,0.030
Rexdale-Kipling,4,10529.000,10488.000,0.004,27.446,11.284,9.323,29.586,10.458,11.903,17.676,21.731,18.039,13.559,11.259,7.022,4.540,3.027,1.513,0.726,0.908,14.770,29.192,56.212,7.037,23.023,3.388,22.676,16.681,1.738,0.348,3.562,0.434,34418.000,33752.000,35988.000,2347.000,15549.000,7255.000,7187.000,5928.000,9088.000,8874.000,841.000,354.000,30201.000,6949.000,4943.000,2502.000,0.000,74.940,77.000,1.373,1.049,749.000,957688.000,8.553,6.035,1.000,80.000,0.868,0.001,0.114,1.450,0.095,3.099,1.764,0.000,0.458,0.543,0.038,4.653,0.582,1.573,1.001,0.000,0.210,0.133,0.038,1.478,0.057
Rockcliffe-Smythe,111,22246.000,22267.000,-0.001,29.897,11.046,8.635,29.166,9.738,11.518,17.579,22.887,18.253,14.125,10.643,6.936,4.325,2.584,1.376,0.590,0.702,23.703,27.634,48.784,8.266,19.489,2.796,18.193,13.047,1.297,0.324,2.917,0.405,34059.000,33560.000,36149.000,2510.000,16222.000,6897.000,7045.000,6574.000,8989.000,11407.000,809.000,363.000,29764.000,7361.000,5133.000,2654.000,0.000,90.120,72.000,0.750,0.629,784.000,1215390.000,7.338,1.078,0.778,100.000,0.790,0.001,0.031,0.577,0.004,0.507,0.359,0.000,0.135,0.490,0.036,0.961,0.144,1.024,0.669,0.000,0.040,0.022,0.018,0.858,0.117
